Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
ACCU,AdvisorShares Accuvest Global Opport ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30%,1.56%,2.01%,4.60%,8.29%,-1.90%,,0.11,0.04%,0.02%,1.55%,1.12%,2.47%,-1.27%,2.98%,-2.16%,8.59%,61.69,0.00%,0.00%,,1.86,0.34,27.95,0.00%,0,
ACE,ACE Limited,Financial,Property & Casualty Insurance,Switzerland,35728.55,10.65,11.44,1.07,1.83,1.19,17.57,10.11,2.44%,22.60%,9.99,38.20%,2.17%,25.80%,10.00%,5.60%,-12.00%,2.50%,335.7,333.49,0.60%,0.35%,92.90%,-0.35%,2.01%,5.77,3.60%,11.70%,11.30%,,,0.14,0.21,,35.40%,17.60%,0.77%,6.32%,2.82%,10.37%,23.54%,4.77%,0.79,0.94,0.84%,0.86%,2.63%,3.03%,6.67%,-0.66%,7.14%,-1.28%,25.35%,70.83,-0.20%,0.32%,2.2,1163.07,0.68,106.56,0.12%,469885,7/22/2014 16:30
ACET,Aceto Corp.,Basic Materials,Chemicals - Major Diversified,USA,563.4,19.23,17.43,0.8,1.14,2.47,15.61,55.78,1.22%,22.60%,1.02,28.60%,12.50%,8.40%,24.00%,6.80%,-32.10%,-17.30%,28.73,27.15,2.30%,14.76%,76.50%,7.59%,4.06%,6.09,8.60%,13.70%,9.80%,2.5,1.5,0.06,0.1,22.30%,8.90%,5.90%,1.29%,17.85%,14.75%,5.71%,28.67%,-21.09%,1.62,0.44,2.64%,2.32%,3.42%,7.90%,-1.06%,-1.42%,17.74%,-22.48%,37.45%,63.65,-0.77%,-0.05%,1,181.05,0.66,19.45,-0.82%,71030,9/4/2014 16:30
ACFC,Atlantic Coast Financial Corporation,Financial,Regional - Southeast Banks,USA,63.86,,16.48,,2.3,0.9,1.64,,,,-1.39,-21.00%,127.27%,-23.80%,,-12.20%,101.60%,-6.80%,15.5,10.62,34.25%,,51.70%,0.16%,0.23%,1.45,-1.00%,-12.60%,13.90%,,,0,0,,-9.40%,-26.60%,-0.96%,-1.90%,-3.06%,3.00%,1.73%,-4.85%,0.76,0.08,0.97%,1.56%,0.83%,1.79%,2.43%,-1.64%,9.11%,-10.66%,39.67%,57.54,0.00%,1.70%,1,16.97,0.02,4.19,1.70%,200,11/4/2013
ACFN,"Acorn Energy, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,38.61,,,,1.93,1.66,4.65,,8.05%,,-1.37,-68.80%,27.90%,-42.20%,30.00%,21.30%,37.50%,-9.60%,22.19,20.19,7.20%,25.34%,21.40%,-39.32%,5.47%,2.85,-60.20%,-98.00%,-89.60%,1.8,1.4,0,0.15,20.50%,,,-11.22%,-14.71%,2.35%,-50.43%,-70.71%,-57.25%,0.63,0.15,5.29%,8.95%,-12.38%,-22.38%,-42.07%,-41.61%,10.60%,-74.96%,23.70%,33.75,-4.02%,0.00%,2.5,387.01,0.61,1.67,-4.02%,139335,8/7/2014
ACG,"AllianceBernstein Income Fund, Inc.",Financial,Closed-End Fund - Debt,USA,1836.48,,,,16.5,0.93,706.34,14.79,5.42%,68.20%,-0.3,-130.90%,,9.00%,,-9.40%,-97.20%,-4.80%,242.92,242.88,,,34.50%,7.64%,0.12%,0.57,5.10%,7.70%,5.00%,,,0,0,98.90%,88.30%,,0.40%,2.16%,3.70%,6.18%,17.76%,10.69%,0.07,0.04,0.34%,0.54%,0.73%,1.38%,5.21%,-0.26%,3.27%,-0.26%,18.30%,62.19,0.00%,-0.13%,,512.63,0.8,7.55,-0.13%,243097,7/30/2014
ACGL,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,Bermuda,7498.61,11.73,15.13,2.74,1.98,1.25,8.09,8.38,,0.00%,4.73,25.80%,-7.70%,30.10%,4.28%,2.30%,17.50%,23.20%,135.11,130.15,1.80%,3.84%,89.20%,-1.34%,0.92%,3.14,3.10%,11.80%,12.00%,,,0.15,0.15,,38.20%,17.00%,-0.04%,2.21%,-3.65%,-0.79%,3.85%,-7.02%,0.48,0.57,0.70%,0.88%,0.07%,-0.94%,-2.10%,-5.00%,4.44%,-7.44%,5.94%,45.77,-0.29%,-0.02%,2.9,382.82,2.98,55.33,-0.31%,673760,7/31/2014 16:30
ACH,Aluminum Corporation Of China Limited,Basic Materials,Aluminum,China,8224.79,,,,0.27,0.93,3.14,,,,-1.54,109.30%,51.80%,87.20%,,17.20%,56.70%,-54.70%,693.49,156.18,,,1.40%,-0.65%,1.40%,13.88,-2.40%,-11.70%,3.60%,0.7,0.5,1.23,2.42,1.80%,-2.30%,-2.70%,5.89%,2.95%,30.33%,34.01%,37.59%,36.32%,1.69,0.43,3.52%,2.02%,4.26%,11.24%,25.27%,-6.67%,30.96%,-6.67%,42.55%,59.9,-0.51%,-0.34%,3,157.83,0.94,11.76,-0.84%,87658,3/2/2011
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,USA,3062.78,41.63,25.91,1.5,3.88,2.95,11.03,,,0.00%,1.23,62.30%,35.53%,63.10%,27.75%,86.60%,79.20%,20.50%,59.82,56.18,2.10%,-10.35%,72.50%,28.61%,8.40%,10.55,4.70%,10.60%,7.30%,4.4,4.4,0.62,0.63,,17.00%,7.90%,-0.19%,6.91%,8.47%,5.07%,35.41%,8.18%,,1.39,2.32%,2.40%,0.84%,4.39%,6.98%,-4.16%,15.51%,-6.83%,34.27%,54.29,-2.39%,0.43%,1.9,447.66,0.47,50.19,-1.97%,125267,7/29/2014 16:30
ACHN,"Achillion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,1277.14,,,,,10.05,9.71,,,,-0.61,1.60%,-29.00%,15.00%,5.20%,,23.80%,,97.79,97.54,13.04%,-18.15%,91.00%,5.45%,15.74%,1.78,-38.00%,-40.60%,,14.5,14.5,0,0,,,,11.15%,83.94%,381.92%,259.78%,98.48%,293.37%,2.22,0.64,4.92%,6.34%,38.53%,63.28%,186.21%,0.98%,102.27%,0.98%,491.59%,86.22,1.13%,1.23%,1.8,8638.43,1.73,13.37,2.37%,8810020,8/7/2014
ACI,Arch Coal Inc.,Basic Materials,Industrial Metals & Minerals,USA,651.76,,,,0.22,0.32,0.66,,1.30%,,-3.78,-0.30%,32.30%,-28.00%,5.00%,0.20%,-21.10%,-6.90%,212.3,211.1,0.54%,-0.43%,67.50%,-9.48%,18.16%,7.9,-8.00%,-32.10%,-5.00%,3.3,2.8,2.52,2.53,10.00%,-8.00%,-24.30%,-3.46%,0.00%,-6.97%,-32.82%,-32.23%,-30.86%,1.94,0.12,3.20%,3.56%,-2.57%,-3.93%,-22.96%,-17.83%,8.69%,-42.92%,8.69%,43.64,-0.49%,0.33%,3,4855.07,0.77,3.07,-0.16%,2214017,7/29/2014 8:30
ACIM,SPDR MSCI ACWI IMI,Financial,Exchange Traded Fund,USA,,,,,,,,,1.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16%,2.80%,2.94%,6.17%,23.27%,9.44%,,0.57,0.10%,0.54%,1.70%,1.19%,5.18%,-2.32%,6.43%,-2.32%,23.08%,55.48,0.00%,-0.16%,,12.07,0.02,66,-0.16%,138,
ACIW,"ACI Worldwide, Inc.",Technology,Technical & System Software,USA,2218.86,34.73,19.97,1.74,2.28,13.23,40.34,23.36,,0.00%,0.56,29.30%,28.50%,39.60%,20.00%,15.70%,50.00%,23.80%,114.08,112.17,1.30%,19.40%,98.80%,-1.52%,4.77%,8.61,4.30%,13.90%,7.20%,1.2,1.2,1.38,1.5,56.80%,15.60%,7.20%,-0.51%,5.36%,9.21%,-7.20%,19.11%,-10.24%,1.07,0.48,2.15%,2.13%,2.48%,4.68%,-0.13%,-2.84%,12.53%,-11.33%,20.18%,57.36,-0.31%,0.51%,2.5,621.46,0.33,19.49,0.21%,120546,7/31/2014 8:30
ACLS,Axcelis Technologies Inc.,Technology,Semiconductor Equipment & Materials,USA,222.04,,99.5,,1.06,1.28,6.24,,,,-0.1,50.00%,115.40%,39.10%,20.00%,-4.80%,-50.00%,-13.30%,111.58,109.7,0.80%,7.85%,57.70%,2.85%,2.55%,8,-4.70%,-6.20%,-8.20%,5.7,2.3,0.08,0.09,35.60%,-3.30%,-5.20%,4.19%,15.03%,9.34%,-12.33%,2.05%,-18.44%,2.58,0.07,4.31%,3.86%,6.30%,6.94%,-3.82%,-4.36%,17.27%,-23.64%,31.35%,66.01,-1.49%,0.50%,1.8,349.13,0.53,1.97,-0.99%,110138,8/4/2014 16:30
ACM,AECOM Technology Corporation,Services,Technical Services,USA,3702.65,15.19,14.21,1.81,0.47,1.65,7.26,13.17,,0.00%,2.45,551.90%,4.13%,10.90%,8.40%,9.40%,0.00%,-4.80%,99.48,89.45,0.50%,-45.54%,77.70%,3.74%,11.81%,7.08,4.20%,11.60%,8.90%,1.5,1.5,0.44,0.47,5.30%,4.00%,3.10%,-2.39%,8.10%,15.73%,17.71%,30.00%,26.47%,1.58,0.68,1.55%,2.00%,2.17%,7.26%,17.28%,-2.30%,19.78%,-2.30%,36.60%,65.09,-0.13%,0.51%,2.4,1491.82,0.84,37.36,0.38%,740738,8/5/2014 8:30
ACMP,"Access Midstream Partners, L.P.",Basic Materials,Oil & Gas Equipment & Services,USA,12210.56,44.14,33.25,1.77,10.54,3.13,332.71,,3.72%,147.30%,1.45,47.40%,24.76%,-6.80%,24.90%,26.40%,-36.10%,18.50%,190.79,89.09,46.80%,80.29%,71.80%,0.23%,1.76%,2.52,3.20%,6.70%,4.50%,0.7,0.7,0.97,0.97,,28.80%,22.70%,1.57%,6.84%,1.98%,13.41%,45.99%,16.51%,0.45,1.18,1.56%,1.93%,3.49%,3.16%,10.88%,-2.18%,10.31%,-3.51%,48.17%,62.03,-0.34%,-0.08%,1.8,623.35,0.29,63.74,-0.41%,104970,7/29/2014 16:30
ACN,Accenture plc,Technology,Information Technology Services,Ireland,54936.25,19.31,16.61,1.68,1.76,9.25,13.56,35.79,2.27%,38.10%,4.24,28.40%,8.83%,13.30%,11.50%,3.70%,4.40%,6.90%,671.1,640.2,0.30%,-3.87%,83.40%,0.30%,2.73%,7.27,17.40%,56.10%,71.30%,1.5,1.5,0,0,30.70%,13.40%,9.40%,0.29%,3.16%,-1.91%,-1.50%,14.86%,0.76%,1.21,0.92,1.07%,1.12%,2.64%,2.31%,2.71%,-1.72%,6.79%,-3.27%,19.05%,64.95,0.02%,0.26%,2.2,2405.56,1.11,82.09,0.28%,1583349,9/24/2014 8:30
ACNB,ACNB Corp.,Financial,Regional - Southwest  Banks,USA,114.6,11.72,,,3.08,1.04,3.45,19.1,3.98%,46.30%,1.63,4.70%,,6.70%,,-4.70%,17.90%,-1.10%,6,5.87,2.10%,5.88%,8.80%,3.94%,0.02%,0.43,0.90%,9.10%,27.40%,,,0.69,0.69,,38.70%,26.30%,0.74%,1.06%,-1.34%,6.58%,15.90%,8.96%,0.23,0.3,1.34%,1.29%,2.09%,0.96%,3.72%,-2.79%,6.74%,-6.73%,20.73%,58.64,0.78%,-0.21%,,3.29,4.84,19.21,0.57%,9403,10/21/2013
ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,1325.14,70.53,53.61,4.41,3.73,2.6,2.19,23.58,,0.00%,0.45,-89.80%,164.29%,16.80%,16.00%,47.70%,22.20%,11.50%,41.75,40.91,2.00%,14.86%,86.70%,4.84%,12.61%,9.28,2.80%,4.20%,4.00%,7.3,7,0.57,0.57,80.10%,10.80%,5.40%,-3.02%,9.07%,-6.65%,-19.40%,-9.13%,8.70%,1.39,0.97,2.94%,3.14%,2.74%,3.35%,-1.59%,-9.64%,14.40%,-19.07%,17.52%,56.54,1.06%,0.79%,2.4,555.75,0.41,32.33,1.86%,135815,7/31/2014 8:30
ACPW,Active Power Inc.,Industrial Goods,Diversified Machinery,USA,50.34,,,,1.04,2.18,3.11,,,,-0.75,-330.00%,44.90%,17.40%,20.00%,7.50%,,-49.50%,23.09,21.32,0.40%,10.80%,47.90%,2.61%,0.54%,2.64,-37.60%,-66.00%,-29.50%,2.3,1.6,0,0.24,27.00%,-30.50%,-32.20%,-2.68%,-8.40%,-18.96%,-36.44%,-37.18%,-35.31%,0.82,0.05,1.46%,1.86%,-5.33%,-14.37%,-27.55%,-25.44%,-1.83%,-48.31%,-1.83%,18.73,-1.83%,0.00%,2.7,43.44,3.59,2.14,-1.83%,92075,7/29/2014
ACRE,Ares Commercial Real Estate Corporation,Financial,REIT - Diversified,USA,358.36,16.49,11.09,3.3,4.53,0.88,17.74,,7.98%,131.60%,0.76,27.80%,22.69%,0.00%,5.00%,,-28.10%,221.00%,28.6,25.97,0.50%,24.35%,62.60%,-1.31%,2.59%,4.36,1.80%,5.30%,1.20%,,,2.4,2.4,56.80%,24.80%,27.20%,0.16%,1.70%,3.13%,-6.21%,7.00%,-0.56%,,0.17,1.11%,1.35%,0.95%,0.50%,-0.25%,-2.22%,3.77%,-6.24%,9.49%,57.06,-0.36%,0.40%,1.9,154.28,0.4,12.53,0.04%,36706,8/7/2014
ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Medical Appliances & Equipment,USA,323.54,,,,11.43,5.83,3.51,,,,-0.32,60.90%,-9.20%,11.10%,,,48.90%,-82.60%,43.37,42.66,0.70%,-92.22%,84.30%,-10.27%,20.25%,7.44,-13.70%,-21.70%,-7.60%,10.7,10.7,0.4,0.44,,-32.20%,-47.30%,6.72%,11.18%,-15.32%,-42.75%,-23.80%,-34.04%,1.78,0.5,5.95%,5.43%,12.10%,-10.23%,-24.95%,-35.36%,24.26%,-44.79%,24.67%,52.96,0.27%,0.67%,2,1160.21,0.36,7.53,0.94%,250083,8/11/2014 16:30
ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,102.01,,4.36,,202.96,3.1,,,,,-0.13,57.10%,466.70%,0.00%,,,,777.80%,106.26,50.44,,,,,0.19%,0.28,,,,,,,,,,,2.13%,-1.03%,17.07%,-23.20%,-60.00%,-23.20%,,0.04,3.84%,4.03%,2.06%,-2.36%,-33.77%,-21.28%,6.71%,-98.61%,20.05%,51.35,0.04%,0.00%,2,341.34,0.6,0.96,0.04%,121817,
ACT,Actavis plc,Healthcare,Drugs - Generic,USA,60396.62,486.28,13.96,24.53,5.97,4.11,14.06,40.75,,0.00%,0.47,-793.40%,23.46%,-35.20%,19.83%,27.90%,106.60%,34.00%,264.26,263.02,0.40%,33.80%,67.50%,9.43%,0.75%,0.84,0.30%,0.80%,-3.00%,2,1.6,1.11,1.27,49.10%,15.20%,0.60%,0.36%,5.92%,8.32%,1.78%,66.90%,36.04%,0.36,4,1.37%,1.95%,5.46%,5.39%,15.14%,-0.25%,14.05%,-0.25%,70.89%,69,0.25%,0.50%,1.6,2327.17,0.64,230.28,0.76%,874772,8/5/2014 8:30
ACTG,Acacia Research Corporation,Services,Business Services,USA,880.43,,16.81,,9.45,1.65,3.99,,2.85%,,-1.8,-197.50%,480.56%,-20.20%,20.00%,22.10%,-3.80%,116.90%,50.11,48.71,1.10%,1.29%,82.20%,-2.62%,18.29%,19.97,-14.60%,-15.90%,-11.00%,5.9,5.9,0,0,66.10%,-66.30%,-93.80%,0.98%,4.83%,13.35%,20.10%,-18.28%,23.65%,0.9,0.55,2.26%,2.90%,2.38%,5.79%,15.87%,-4.73%,21.93%,-23.37%,48.36%,57.09,0.62%,0.28%,2.5,446.03,0.36,17.73,0.91%,95204,7/24/2014 16:00
ACTS,"Actions Semiconductor Co., Ltd.",Technology,Semiconductor - Specialized,China,167.07,,,,2.9,0.63,0.96,,,,-0.14,100.00%,,-14.90%,25.00%,-6.10%,-600.00%,-35.10%,68.47,65.07,5.61%,,9.20%,57.51%,0.03%,0.24,-3.00%,-3.60%,-4.50%,4,3.5,0,0.13,24.80%,-35.70%,-17.20%,1.67%,16.19%,27.08%,-2.40%,-9.63%,-18.12%,0.64,0.05,1.09%,2.22%,6.32%,9.55%,2.26%,-2.01%,25.77%,-18.67%,54.43%,75.59,0.00%,0.00%,4,82.39,0.45,2.44,0.00%,21800,1/20/2014
ACU,Acme United Corp.,Consumer Goods,Housewares & Accessories,USA,54.26,13.23,10.91,,0.56,1.43,22.61,,2.14%,23.40%,1.27,8.00%,12.41%,-0.30%,,5.50%,5.90%,17.60%,3.23,2.78,13.60%,0.46%,38.50%,3.50%,0.30%,1.65,6.10%,12.40%,7.60%,3.6,1.9,0.83,0.83,35.40%,6.90%,4.60%,1.82%,-2.50%,-3.23%,5.73%,22.27%,14.44%,0.38,0.29,1.24%,1.75%,1.42%,1.13%,5.99%,-3.80%,5.65%,-12.38%,61.44%,56.12,1.68%,-0.60%,1,5.11,0.41,16.98,1.07%,1251,7/24/2014 8:30
ACUR,"Acura Pharmaceuticals, Inc.",Healthcare,Drug Delivery,USA,46.44,,,,232.18,4.52,2.68,,,,-0.29,-45.00%,-75.00%,-24.60%,,-70.50%,0.00%,3400.00%,48.88,47.81,1.20%,15.79%,57.10%,-1.21%,0.20%,1.04,-58.40%,-91.20%,-51.30%,7.8,7.6,0.89,0.94,0.00%,,,3.26%,-6.86%,-9.52%,-46.02%,-37.50%,-43.11%,1.71,0.05,5.58%,5.81%,3.24%,-5.83%,-32.37%,-18.26%,16.05%,-57.85%,16.05%,46.88,-1.05%,0.00%,2.5,92.87,0.46,0.94,-1.05%,24974,5/5/2014 16:30
ACW,Accuride Corp.,Consumer Goods,Auto Parts,USA,215.69,,16.74,,0.33,3.32,6.76,,,,-0.1,85.00%,2800.00%,64.10%,36.00%,-7.10%,123.80%,-47.00%,47.72,47.26,6.10%,-10.04%,82.60%,-6.11%,2.84%,5.92,-2.40%,-28.50%,2.30%,1.7,1.2,5.24,5.24,9.00%,2.70%,-2.40%,-4.03%,-8.13%,-13.58%,-7.38%,-14.39%,21.18%,2,0.18,2.95%,3.55%,-6.46%,-8.35%,-0.70%,-21.39%,0.22%,-23.52%,45.81%,35.4,-0.22%,0.22%,1.7,226.74,0.36,4.52,0.00%,48804,7/28/2014 8:30
ACWI,iShares MSCI ACWI,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,,,,,,,,,,0.33%,2.57%,3.02%,6.95%,21.04%,7.50%,,0.41,0.40%,0.59%,1.65%,1.43%,5.97%,-0.33%,4.94%,-0.33%,21.23%,63.3,-0.09%,0.13%,,972.05,2.62,61.12,0.04%,1504735,
ACWV,iShares MSCI All Country World Mini Vol,Financial,Exchange Traded Fund,USA,,,,,,,,,2.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68%,3.22%,3.56%,8.54%,17.11%,8.66%,,0.4,0.44%,0.48%,1.38%,1.79%,6.57%,-0.23%,4.29%,-0.23%,17.07%,66.19,-0.12%,0.09%,,78.59,0.14,68.34,-0.03%,6640,
ACWX,iShares MSCI ACWI ex US,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,0.67%,1.82%,1.92%,6.24%,17.10%,5.26%,,0.34,0.35%,0.54%,1.53%,0.79%,4.53%,-1.27%,4.22%,-1.27%,17.18%,59.1,-0.23%,0.04%,,261.93,0.21,48.12,-0.19%,32099,
ACXM,Acxiom Corporation,Technology,Information Technology Services,USA,1474.34,,20.82,,1.37,2.16,3.75,19.12,,,-0.14,-84.00%,22.73%,-24.20%,12.50%,-3.00%,-147.10%,-5.80%,77.15,76.24,1.70%,72.22%,95.70%,1.94%,3.43%,4.02,-0.90%,-1.80%,1.90%,2.8,2.8,0.41,0.46,23.90%,8.40%,-1.10%,2.96%,2.74%,-13.92%,-50.43%,-23.04%,-48.32%,1.49,0.43,1.95%,2.37%,4.81%,-1.08%,-33.60%,-14.07%,12.16%,-51.20%,12.16%,57.9,0.26%,0.10%,1.5,650.55,0.53,19.18,0.37%,202811,8/4/2014 16:30
ACY,AeroCentury Corp.,Services,Rental & Leasing Services,USA,18.9,,8.63,,0.68,0.39,3.86,,,0.00%,-0.14,-38.90%,154.60%,-0.50%,,0.30%,-90.50%,-34.40%,1.61,1.18,2.30%,-27.43%,25.00%,-1.47%,0.01%,0.03,2.20%,7.60%,2.60%,,,2.26,2.26,99.60%,11.40%,13.20%,-1.68%,-25.65%,-28.02%,-34.41%,-42.42%,-31.66%,1.54,0.5,3.86%,4.09%,-9.88%,-22.41%,-30.97%,-33.20%,4.55%,-45.71%,4.55%,31.13,-0.04%,-2.90%,2,3.41,2.29,11.4,-2.93%,4613,11/11/2013
ADAT,Authentidate Holding Corp.,Technology,Healthcare Information Services,USA,28.36,,,,4.81,4.11,10.91,,,,-0.31,-28.60%,,13.30%,,-4.70%,63.60%,-14.30%,38.33,36.9,0.80%,51.32%,29.50%,-2.71%,0.83%,3.34,-123.10%,-184.90%,-91.40%,2.4,1.4,0,0,32.20%,,,4.23%,21.31%,8.82%,-33.33%,-17.78%,-44.78%,0.45,0.06,5.06%,8.49%,-1.22%,12.57%,-25.02%,-13.62%,72.75%,-59.57%,72.75%,54.79,2.72%,0.00%,3,91.81,0.93,0.76,2.72%,50261,11/14/2013 16:30
ADBE,Adobe Systems Inc.,Technology,Application Software,USA,36025.23,129.34,34.62,10.56,8.78,5.43,10.82,35.63,,0.00%,0.56,-66.30%,69.81%,-18.80%,12.25%,2.50%,13.30%,5.70%,497.38,495.44,0.10%,-74.26%,92.40%,1.81%,1.12%,2.13,2.80%,4.20%,4.30%,1.9,1.9,0.14,0.23,85.40%,10.50%,6.90%,1.26%,5.32%,12.87%,5.12%,57.87%,20.96%,1.26,0.98,1.07%,1.35%,2.91%,1.82%,12.18%,-1.76%,7.58%,-2.68%,58.85%,63.23,0.08%,0.28%,2.1,2612.41,0.54,72.69,0.36%,825984,9/16/2014 16:30
ADC,Agree Realty Corp.,Financial,Property Management,USA,445.06,23.61,19.23,1.09,9.31,1.54,278.16,,5.78%,129.20%,1.26,13.80%,25.06%,-3.70%,21.60%,5.70%,-37.90%,21.70%,14.96,14.12,0.20%,-6.27%,68.40%,-0.41%,1.76%,6.12,3.90%,6.50%,5.70%,,,0.64,0.64,90.80%,58.60%,37.70%,0.30%,1.43%,-0.03%,-3.22%,17.45%,5.46%,0.75,0.4,0.84%,1.42%,-0.11%,-0.94%,1.46%,-4.07%,3.02%,-4.47%,17.96%,48.71,-0.34%,0.17%,1.7,40.61,1.33,29.7,-0.17%,31941,7/28/2014 16:30
ADEP,Adept Technology Inc.,Industrial Goods,Diversified Machinery,USA,97.33,,61.92,,1.69,4.79,12.81,162.22,,,-0.07,92.90%,605.88%,46.50%,20.00%,6.70%,-200.00%,4.40%,13.1,12.89,0.30%,-87.58%,52.00%,-8.39%,5.42%,2.64,-2.60%,-5.20%,-3.40%,2.4,1.6,0,0,46.30%,-0.30%,-1.40%,-17.54%,-16.98%,-34.48%,-55.56%,76.07%,-56.01%,1.98,0.6,5.45%,5.42%,-14.63%,-16.70%,-40.51%,-33.92%,7.24%,-64.16%,92.87%,38.17,6.22%,-0.54%,1.7,264.65,2.91,7.85,5.65%,455311,8/25/2014 16:30
ADES,"Advanced Emissions Solutions, Inc.",Industrial Goods,Pollution & Treatment Controls,USA,485.05,,20.45,,1.8,,29.76,21.56,,,-0.46,54.20%,781.20%,-37.98%,50.00%,61.70%,140.00%,0.30%,21.8,20.29,3.40%,15.78%,64.20%,10.23%,3.62%,5.1,-10.20%,51.30%,106.90%,0.8,0.8,,,16.40%,1.20%,-3.40%,8.38%,2.44%,0.36%,-18.94%,11.58%,-17.93%,2.24,0.81,4.54%,3.45%,0.96%,1.02%,-7.49%,-9.21%,15.05%,-23.97%,36.34%,52.52,-0.63%,0.27%,1.6,143.87,0.14,22.17,-0.36%,11778,3/13/2014 16:30
ADGE,"American DG Energy, Inc.",Industrial Goods,Diversified Machinery,USA,65.4,,,,7.98,7.29,8.38,,,,-0.11,28.60%,,-7.40%,,2.60%,-50.00%,16.70%,52.74,24.28,2.80%,24.44%,5.10%,-0.37%,0.87%,2.28,-16.30%,-57.40%,-12.60%,6.9,5.9,2.71,2.71,12.20%,-50.00%,-70.70%,-0.80%,-8.15%,-46.32%,-38.00%,-22.50%,-27.06%,0.26,0.08,3.47%,5.40%,-2.78%,-16.59%,-36.14%,-44.29%,3.40%,-52.89%,3.40%,38.78,0.00%,-1.60%,3,93.07,0.3,1.22,-1.60%,16639,5/15/2014 8:30
ADHD,Alcobra Ltd.,Healthcare,Biotechnology,Israel,245.61,,,,,6.96,6.31,,,,-1.87,-420.00%,8.70%,0.00%,,,-280.00%,,13.63,7.32,,,31.30%,3.92%,9.09%,4.75,-62.60%,-67.40%,,8.3,8.3,0,0,,,,-12.57%,2.39%,6.63%,-18.28%,44.04%,0.11%,,1,6.14%,5.37%,-11.54%,-5.90%,-5.69%,-19.92%,6.09%,-34.09%,44.59%,35.75,-3.48%,2.16%,2,140.03,1.21,17.77,-1.39%,99959,8/11/2014
ADI,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits,USA,15789.05,22.23,17.76,1.84,5.9,3.19,3.28,53.59,2.95%,60.20%,2.26,0.50%,18.76%,3.90%,12.08%,0.40%,13.50%,5.30%,314.21,311.32,0.30%,-8.09%,86.00%,-0.06%,1.79%,3.03,11.30%,15.00%,10.90%,9.9,9.3,0.18,0.18,65.30%,30.90%,26.80%,-3.05%,1.86%,-3.57%,-0.51%,10.80%,0.82%,1.2,0.85,2.10%,1.62%,-0.15%,-2.20%,-0.17%,-7.28%,4.34%,-9.35%,14.90%,44.66,0.62%,0.00%,2.3,1834.54,0.59,50.56,0.62%,642552,8/26/2014 16:30
ADK,AdCare Health Systems Inc.,Healthcare,Long-Term Care Facilities,USA,88.33,,,,0.4,9.38,7.96,,,,-0.53,14.10%,67.60%,-25.90%,,55.10%,52.60%,1.50%,18.1,15.64,3.40%,-10.08%,29.00%,27.93%,1.68%,2.21,-4.70%,-109.10%,-0.60%,0.6,0.6,10.97,15.97,17.50%,1.50%,-4.80%,-1.41%,1.88%,21.09%,9.66%,16.19%,13.49%,1.42,0.16,3.41%,2.84%,-1.66%,4.46%,13.16%,-3.96%,17.43%,-3.96%,33.98%,51.86,-0.41%,-0.20%,1.5,119.21,0.66,4.85,-0.61%,46379,8/11/2014
